no_steps,drone_travel_distance,utilization
5460,66266.21120891797,0.20405982905982906
5874,69078.55216323776,0.19799114742934967
6064,74165.65394164516,0.20583223394898856
5905,74056.66982807723,0.2109229466553768
5674,70426.71308037435,0.20890612148983667
6428,71370.81285057461,0.18678697365691765
5978,66486.86967906452,0.18732574997212
6057,72700.18472744437,0.20191513950800727
5748,70401.78932526012,0.20615866388308976
6398,70396.92507334033,0.18529227883713661
5623,66088.20187802054,0.19787776394569923
5558,68653.07367134525,0.20810843228979248
6016,70118.2325452298,0.19594968971631205
5806,67412.62121287876,0.19525777930876106
6433,68835.97724019941,0.1799056945955749
5794,70447.49953461326,0.2046657461742032
5637,71958.69715638622,0.2147123174265271
6649,68386.5113549973,0.17305860530405576
6112,71740.38193279057,0.19731675392670156
5831,68484.18482894312,0.19770765449036756
5919,72909.20744364323,0.2074956355240187
5560,72587.96426693175,0.21969424460431655
5737,69090.11691307242,0.2027482424031143
5964,73007.07213170442,0.20573440643863178
5804,65688.44111950927,0.19050080404318862
6020,73257.34037362013,0.20467884828349944
5580,73319.55617527905,0.22102747909199522
5951,68277.32131517222,0.1930207808211505
6049,68293.33081164034,0.18981098804210061
6278,77937.48702806771,0.20855898906233408
5625,71713.75450761187,0.21431111111111112
6130,70174.47810202456,0.19257748776508973
5918,67514.38494037314,0.19173144080207277
5913,72932.65098125054,0.20776255707762556
5628,71845.78344591377,0.2146410803127221
5982,71040.10020451779,0.19990527136966454
5568,70833.14618252433,0.21396072796934865
6227,75585.58055560214,0.2041378941170173
6037,70183.62271959874,0.19543371431726575
6087,72030.42676905838,0.19892119818191775
