strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4
farthest_package_first_MPA,8,2,50,4029,3878,39989.12,3099.96,5917,11199,0.63,1521.39,1379.6,6240,0.0,0.0,0.0
farthest_package_first_MPA,9,2,50,3706,3548,38287.05,2959.0,5773,11107,0.64,1389.22,1243.06,6360,0.0,0.0,0.0
farthest_package_first_MPA,0,2,100,11107,10991,95990.38,2646.48,18405,24265,0.44,5268.74,4906.32,12360,0.0,0.0,0.0
farthest_package_first_MPA,1,2,100,10364,10253,97030.94,2508.64,19054,25234,0.44,4883.58,4092.81,13200,0.0,0.0,0.0
farthest_package_first_MPA,2,2,100,10454,10339,99065.59,2630.99,19139,25014,0.44,4976.75,4339.28,12720,0.0,0.0,0.0
farthest_package_first_MPA,3,2,100,9228,9080,90800.86,2031.3,17731,23850,0.45,4549.06,4235.38,12600,0.0,0.0,0.0
farthest_package_first_MPA,4,2,100,9909,9766,89935.5,2404.78,17658,23519,0.44,4552.34,4265.43,12360,0.0,0.0,0.0
farthest_package_first_MPA,5,2,100,11009,10828,99003.28,2856.36,19018,24753,0.43,4689.14,4356.09,12480,0.0,0.0,0.0
farthest_package_first_MPA,6,2,100,10522,10410,99131.8,2495.48,19087,24893,0.43,5052.49,4380.13,12600,0.0,0.0,0.0
farthest_package_first_MPA,7,2,100,11247,11139,98915.15,2271.2,18965,24995,0.44,4967.6,4467.95,12720,0.0,0.0,0.0
farthest_package_first_MPA,8,2,100,11059,10934,98140.0,2586.48,19137,24541,0.43,5003.04,4697.0,12360,0.0,0.0,0.0
farthest_package_first_MPA,9,2,100,11530,11387,106277.85,2681.72,20443,25906,0.42,5234.39,4628.97,12720,0.0,0.0,0.0
farthest_package_first_MPA,0,2,200,15111,14915,130198.51,8368.53,29021,41897,0.48,6977.4,6642.32,25800,0.0,0.0,0.0
farthest_package_first_MPA,1,2,200,15507,15345,133552.35,8104.14,29831,42295,0.47,6990.46,6684.93,25800,0.0,0.0,0.0
farthest_package_first_MPA,2,2,200,15098,14967,130375.14,6165.35,29049,41187,0.47,6953.52,6484.12,25080,0.0,0.0,0.0
farthest_package_first_MPA,3,2,200,15989,15831,131681.55,6214.74,29353,41358,0.47,6959.59,6829.45,25080,0.0,0.0,0.0
farthest_package_first_MPA,4,2,200,17536,17398,136972.18,8180.84,30390,42831,0.47,7535.66,7167.56,25920,0.0,0.0,0.0
farthest_package_first_MPA,5,2,200,15981,15783,125360.08,8120.39,28326,40091,0.47,6677.61,6372.45,24600,0.0,0.0,0.0
farthest_package_first_MPA,6,2,200,14920,14788,127496.91,5948.92,28437,40481,0.47,6635.27,6608.91,24720,0.0,0.0,0.0
farthest_package_first_MPA,7,2,200,15757,15613,126381.13,5656.32,28303,41049,0.48,6976.02,6750.8,25440,0.0,0.0,0.0
farthest_package_first_MPA,8,2,200,17267,17054,129969.28,7880.54,28807,41136,0.48,6784.9,6695.95,25080,0.0,0.0,0.0
farthest_package_first_MPA,9,2,200,15593,15430,130048.15,8120.02,28686,41489,0.48,7119.78,6932.56,25440,0.0,0.0,0.0
farthest_package_first_MPA,0,3,50,2363,2279,26860.72,2666.5,3801,9323,0.82,1035.41,1016.28,6000,0.0,0.0,0.0
farthest_package_first_MPA,1,3,50,2693,2621,34122.79,2555.4,4616,10581,0.76,1146.83,1192.56,6360,45.85,101.89,917.0
farthest_package_first_MPA,2,3,50,3828,3744,34733.27,2669.4,5094,10300,0.67,1305.42,1282.96,6000,0.0,0.0,0.0
farthest_package_first_MPA,3,3,50,2706,2599,31191.91,2277.62,4221,10104,0.8,1097.85,1086.34,6240,104.83,209.67,629.0
farthest_package_first_MPA,4,3,50,2210,2134,27093.08,2663.82,3717,9351,0.84,1032.77,1013.46,6000,0.0,0.0,0.0
farthest_package_first_MPA,5,3,50,4269,4107,33823.08,2640.25,5380,10547,0.65,1475.02,1315.74,6360,86.6,866.0,216.5
farthest_package_first_MPA,6,3,50,2965,2860,37722.62,2172.82,5502,11035,0.67,1281.11,1168.58,6360,25.33,50.67,19.0
farthest_package_first_MPA,7,3,50,3454,3235,32922.04,2737.84,4912,10555,0.72,1210.89,1044.08,6480,21.5,28.67,21.5
farthest_package_first_MPA,8,3,50,2640,2505,28691.04,3099.96,3961,9555,0.8,1095.84,1046.5,6000,0.0,0.0,0.0
