strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time
farthest_package_first,4,2,100,6114,6021,87682.15,2528.52,11404,21401,0.63,2974.4,3079.91
farthest_package_first,5,2,100,7188,7123,89484.76,2266.43,11602,21453,0.62,3132.81,3326.69
farthest_package_first,6,2,100,7207,7110,94691.14,2549.5,12145,21850,0.6,3137.79,3253.94
farthest_package_first,7,2,100,8197,8112,101402.71,2594.73,12965,23116,0.59,3388.78,3676.16
farthest_package_first,8,2,100,6662,6578,89414.72,2372.76,11471,21197,0.62,3048.85,3175.87
farthest_package_first,9,2,100,6873,6780,97682.94,2448.34,12499,22157,0.59,2967.37,3204.04
farthest_package_first,0,2,200,9831,9687,120681.43,5999.93,18755,36830,0.65,4358.39,4612.34
farthest_package_first,1,2,200,10355,10215,121049.3,6046.0,18766,36755,0.65,4441.7,4660.44
farthest_package_first,2,2,200,11733,11595,135382.14,7930.82,20160,38689,0.64,4703.42,5090.52
farthest_package_first,3,2,200,10063,9919,124013.01,6249.16,19080,37053,0.65,4540.43,4789.97
farthest_package_first,4,2,200,10042,9910,122281.11,7774.38,18717,37105,0.66,4562.83,4829.57
farthest_package_first,5,2,200,10280,10147,123523.02,8122.67,18591,36422,0.65,4648.11,4688.85
farthest_package_first,6,2,200,11024,10892,128229.7,7538.59,19322,37717,0.65,4600.9,4935.12
farthest_package_first,7,2,200,9851,9717,119864.2,8007.92,18393,36512,0.66,4546.47,4760.34
farthest_package_first,8,2,200,11008,10869,130455.14,6273.36,19762,37826,0.64,4766.83,5016.74
farthest_package_first,9,2,200,11260,11124,120113.81,6305.84,18357,36064,0.65,4703.78,4736.93
farthest_package_first,0,2,500,20359,20253,187843.25,19117.63,37162,81339,0.73,8914.56,9570.18
farthest_package_first,1,2,500,20366,20260,193565.36,13407.91,38251,82111,0.72,9070.32,9779.21
farthest_package_first,2,2,500,19995,19894,189931.73,15309.31,37035,79885,0.72,9118.49,9287.62
farthest_package_first,3,2,500,20182,20076,184371.3,17744.26,36209,79434,0.73,8958.03,9314.95
farthest_package_first,4,2,500,21190,21052,192918.63,16885.28,37840,81973,0.72,9080.4,9742.3
farthest_package_first,5,2,500,20878,20700,187759.57,12725.28,37421,80461,0.72,9024.67,9347.99
farthest_package_first,6,2,500,20437,20412,189039.67,15682.59,37277,81097,0.73,9260.9,9737.95
farthest_package_first,7,2,500,21210,21029,193819.64,18315.05,37583,81795,0.73,9150.24,9713.66
farthest_package_first,8,2,500,22338,22154,194646.8,15663.95,38246,82489,0.72,9271.71,9867.34
farthest_package_first,9,2,500,19720,19644,191863.03,13478.53,37637,80641,0.71,9354.48,9700.71
farthest_package_first,0,3,50,2560,2465,31630.76,2233.95,3742,9128,0.81,1018.77,1032.66
farthest_package_first,1,3,50,2084,1975,26923.63,3133.03,3272,8658,0.88,962.33,963.68
farthest_package_first,2,3,50,2285,2189,32045.41,2658.79,3505,9290,0.88,925.0,994.56
farthest_package_first,3,3,50,2383,2248,29461.35,3200.72,3568,9269,0.87,1003.6,1044.86
farthest_package_first,4,3,50,2340,2276,32007.3,2041.44,3754,9522,0.85,965.25,1054.5
farthest_package_first,5,3,50,3061,2977,31720.52,2969.85,4031,9250,0.76,1131.12,1204.92
farthest_package_first,6,3,50,2507,2370,28725.88,3503.56,3560,8959,0.84,995.62,1027.02
farthest_package_first,7,3,50,2079,1976,27313.23,2743.48,3351,8698,0.87,936.44,928.38
farthest_package_first,8,3,50,2409,2319,32233.68,2663.03,3772,9300,0.82,985.35,998.88
farthest_package_first,9,3,50,2050,1972,30503.04,2542.88,3458,9251,0.89,943.87,981.16
farthest_package_first,0,3,100,7031,6951,76991.61,2819.58,10198,19854,0.65,2789.09,2833.86
farthest_package_first,1,3,100,6320,6242,76871.83,2454.88,10256,20084,0.65,2642.81,2737.64
farthest_package_first,2,3,100,6020,5946,77538.47,2296.9,10243,19915,0.65,2577.71,2616.57
farthest_package_first,3,3,100,6662,6582,82290.34,2233.15,10828,20744,0.64,2783.06,3026.72
farthest_package_first,4,3,100,5164,5071,72645.73,2528.52,9799,19187,0.65,2518.24,2432.2
farthest_package_first,5,3,100,6187,6116,73553.18,2266.43,9778,19509,0.67,2585.27,2695.02
farthest_package_first,6,3,100,6035,5938,80193.92,2549.5,10446,20048,0.64,2754.24,2678.05
farthest_package_first,7,3,100,7377,7306,85492.08,2594.73,11415,21290,0.62,2841.98,3085.4
farthest_package_first,8,3,100,5845,5761,75719.61,2372.76,10061,19714,0.65,2530.57,2610.1
farthest_package_first,9,3,100,5908,5815,82412.03,2448.34,10852,20518,0.63,2639.42,2669.33
farthest_package_first,0,3,200,8980,8835,107520.84,5999.93,17160,34930,0.68,4217.59,4157.06
farthest_package_first,1,3,200,9602,9462,106429.52,6046.0,17170,35069,0.68,4058.31,4152.77
farthest_package_first,2,3,200,10746,10605,115058.3,7930.82,17824,35950,0.67,4246.63,4370.08
farthest_package_first,3,3,200,9289,9145,108093.42,6249.16,17207,35001,0.68,3982.73,4130.38
farthest_package_first,4,3,200,8774,8638,102287.83,7774.38,16462,34406,0.7,3937.19,4019.97
farthest_package_first,5,3,200,9286,9154,106542.38,8122.67,16939,34969,0.69,4067.45,4114.21
farthest_package_first,6,3,200,9693,9561,109144.22,7538.59,17174,35222,0.68,4213.69,4241.07
farthest_package_first,7,3,200,9134,9000,101658.21,8007.92,16386,34220,0.7,4019.45,4051.57
farthest_package_first,8,3,200,9713,9574,109314.52,6273.36,17440,35005,0.67,4200.24,4238.09
farthest_package_first,9,3,200,10445,10309,102247.76,6305.84,16664,34536,0.69,4149.67,4173.06
farthest_package_first,0,3,500,18221,18115,151815.94,19117.63,32907,76102,0.77,8307.12,8413.25
farthest_package_first,1,3,500,18470,18364,162442.13,13407.91,34577,77365,0.75,8409.02,8734.44
farthest_package_first,2,3,500,18284,18183,162815.07,15309.31,34021,76373,0.75,8288.41,8332.74
farthest_package_first,3,3,500,18274,18163,157453.92,17744.26,33315,76180,0.76,8316.37,8438.37
farthest_package_first,4,3,500,19212,19071,160860.29,16885.28,34012,77127,0.76,8615.1,8727.04
farthest_package_first,5,3,500,19168,18989,159730.43,12725.28,34417,76977,0.75,8541.49,8559.91
farthest_package_first,6,3,500,18888,18863,156949.05,15682.59,33699,76844,0.76,8411.97,8634.05
