strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,2,1,500,23594,23430,295711.13,15682.28,40688,104062,0.85,10445.51,10360.98,75120,72.67,111.47,201.83,1.0,1.0,1.0,381
farthest_package_first_MPA,3,1,500,19823,19740,275217.52,16075.43,37585,97122,0.86,9602.98,9507.79,70200,42.97,120.8,192.83,1.0,1.0,1.0,324
farthest_package_first_MPA,4,1,500,21098,20920,288154.92,14443.05,40200,103082,0.85,10138.27,10252.47,74880,71.98,125.65,190.75,1.0,1.0,1.0,382
farthest_package_first_MPA,5,1,500,21254,21147,280434.11,16431.82,38166,99086,0.87,9875.5,9977.89,71640,72.18,127.4,194.62,1.0,1.0,1.0,335
farthest_package_first_MPA,6,1,500,21072,20965,279465.86,16185.93,38928,101210,0.87,10067.2,10074.74,73920,60.06,140.38,177.44,1.0,1.0,1.0,357
farthest_package_first_MPA,7,1,500,22881,22710,299165.06,14908.34,41053,104530,0.85,10476.09,10399.14,75240,79.26,140.7,211.86,1.0,1.0,1.0,377
farthest_package_first_MPA,8,1,500,21778,21675,296996.25,16151.91,40406,103852,0.86,10370.75,10465.99,74760,58.21,133.39,201.31,1.0,1.0,1.0,378
farthest_package_first_MPA,9,1,500,21852,21692,286284.17,15418.85,39564,101838,0.86,10013.86,10015.36,73800,69.64,145.19,187.43,1.0,1.0,1.0,343
farthest_package_first_MPA,0,2,50,1987,1894,32409.9,2666.5,3259,9207,0.94,992.86,978.3,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,1,2,50,2028,1958,40856.54,2555.4,3597,10399,0.96,1087.29,1113.64,6360,0.0,71.0,-10,0.5,0.67,-10,0
farthest_package_first_MPA,2,2,50,2191,2086,38972.73,2669.4,3474,9977,0.96,1067.25,1049.38,6120,0.0,33.0,-10,0.5,0.67,-10,0
