strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time
farthest_package_first,4,2,100,3709,3616,67929.1,2528.52,6809,19795,0.97,1771.42,1925.11
farthest_package_first,5,2,100,3920,3850,68491.33,2266.43,6712,19845,0.99,1810.86,1990.0
farthest_package_first,6,2,100,3831,3734,69236.82,2549.5,6783,19678,0.97,1777.31,1911.84
farthest_package_first,7,2,100,4383,4312,76182.37,2594.73,7239,21206,0.98,1810.31,2086.51
farthest_package_first,8,2,100,3909,3825,71071.52,2372.76,6888,19739,0.96,1774.19,1953.14
farthest_package_first,9,2,100,3627,3535,76459.31,2448.34,6944,20166,0.97,1805.02,1933.67
farthest_package_first,0,2,200,6389,6264,92007.15,5999.93,11845,34714,0.98,2964.85,3168.09
farthest_package_first,1,2,200,6442,6298,92028.49,6046.0,11789,34597,0.98,3005.62,3245.93
farthest_package_first,2,2,200,7143,7005,102618.56,7930.82,12356,36149,0.98,3069.97,3445.29
farthest_package_first,3,2,200,6468,6329,93458.38,6249.16,11993,34388,0.96,3086.06,3294.76
farthest_package_first,4,2,200,6680,6548,91530.21,7774.38,11987,34659,0.96,3049.19,3338.43
farthest_package_first,5,2,200,6473,6340,93667.24,8122.67,11732,34298,0.97,3151.73,3296.9
farthest_package_first,6,2,200,6804,6670,98959.7,7538.59,12167,35412,0.97,3125.62,3411.61
farthest_package_first,7,2,200,6562,6425,94139.69,8007.92,11904,34684,0.97,3123.31,3358.1
farthest_package_first,8,2,200,6630,6493,98581.19,6273.36,12125,35620,0.98,3084.49,3359.73
farthest_package_first,9,2,200,7122,6984,92751.72,6305.84,11705,33951,0.97,3126.75,3259.34
farthest_package_first,0,2,500,14813,14707,149221.42,19117.63,26912,78486,0.97,6972.92,7491.54
farthest_package_first,1,2,500,14669,14562,145988.8,13407.91,26886,78264,0.97,6812.66,7357.84
farthest_package_first,2,2,500,14339,14208,145714.8,15309.31,26504,76598,0.96,6843.73,7128.74
farthest_package_first,3,2,500,14986,14880,145546.86,17744.26,26285,76435,0.97,6862.75,7219.98
farthest_package_first,4,2,500,15354,15213,149763.61,16885.28,27319,79024,0.96,6778.23,7396.75
farthest_package_first,5,2,500,14801,14620,144200.83,12725.28,26602,77606,0.97,6587.54,7056.39
farthest_package_first,6,2,500,14332,14306,145097.83,15682.59,26583,77349,0.97,6887.19,7313.46
farthest_package_first,7,2,500,15246,15065,151726.64,18315.05,27212,79207,0.97,6758.16,7318.88
farthest_package_first,8,2,500,16101,15916,150389.93,15663.95,27419,79675,0.97,6800.34,7473.93
farthest_package_first,9,2,500,14310,14232,147714.13,13478.53,26738,77848,0.97,6815.32,7233.32
farthest_package_first,0,3,50,2102,2020,29693.78,2233.95,3284,8938,0.91,948.95,959.98
farthest_package_first,1,3,50,2064,1933,26664.44,3133.03,3252,8633,0.88,955.21,956.28
farthest_package_first,2,3,50,2130,2017,30197.23,2658.79,3350,9107,0.91,893.09,958.82
farthest_package_first,3,3,50,2105,1970,27840.87,3200.72,3290,9109,0.92,934.35,1008.96
farthest_package_first,4,3,50,1987,1923,30116.26,2041.44,3401,9335,0.91,920.31,1001.46
farthest_package_first,5,3,50,2172,2086,27049.39,2969.85,3142,8788,0.93,942.35,1001.56
farthest_package_first,6,3,50,2172,2035,25945.61,3503.56,3225,8683,0.9,940.87,968.98
farthest_package_first,7,3,50,2019,1916,26050.55,2743.48,3291,8692,0.88,894.76,919.08
farthest_package_first,8,3,50,1991,1883,29471.4,2663.03,3354,9028,0.9,931.24,941.1
farthest_package_first,9,3,50,1726,1612,28872.14,2542.88,3122,9089,0.97,907.82,950.1
farthest_package_first,0,3,100,3934,3846,54447.86,2819.58,6265,17974,0.96,1733.62,1821.14
farthest_package_first,1,3,100,3658,3578,53363.58,2454.88,6083,17746,0.97,1704.87,1764.2
farthest_package_first,2,3,100,3479,3405,53469.48,2296.9,6213,17998,0.97,1583.82,1703.63
farthest_package_first,3,3,100,3686,3603,54720.9,2233.15,6180,18006,0.97,1696.67,1838.66
farthest_package_first,4,3,100,3356,3251,50508.71,2528.52,6035,17590,0.97,1611.14,1668.72
farthest_package_first,5,3,100,3484,3411,51306.14,2266.43,6030,17422,0.96,1642.45,1734.18
farthest_package_first,6,3,100,3503,3406,52733.56,2549.5,6229,17802,0.95,1644.2,1720.02
farthest_package_first,7,3,100,3851,3780,56258.99,2594.73,6411,18625,0.97,1669.61,1831.11
farthest_package_first,8,3,100,3524,3440,53330.04,2372.76,6216,17856,0.96,1620.72,1752.46
farthest_package_first,9,3,100,3454,3362,56973.02,2448.34,6387,18464,0.96,1647.31,1763.72
farthest_package_first,0,3,200,5896,5752,68747.81,5999.93,11009,31813,0.96,2855.64,2984.93
farthest_package_first,1,3,200,6003,5855,69308.37,6046.0,11143,32227,0.96,2819.73,3014.27
farthest_package_first,2,3,200,6636,6498,77038.99,7930.82,11456,33128,0.96,2924.04,3159.34
farthest_package_first,3,3,200,5908,5761,69907.8,6249.16,10809,31221,0.96,2887.05,2993.77
farthest_package_first,4,3,200,6255,6117,68590.19,7774.38,10974,31435,0.95,2900.94,3025.73
farthest_package_first,5,3,200,6151,6013,70538.0,8122.67,11152,32001,0.96,2932.58,3080.66
farthest_package_first,6,3,200,6408,6270,73422.17,7538.59,11559,33000,0.95,2970.96,3240.03
farthest_package_first,7,3,200,6210,6069,70625.01,8007.92,10987,31629,0.96,2975.22,3069.41
farthest_package_first,8,3,200,6043,5906,72475.71,6273.36,10970,31950,0.97,2889.77,3013.73
farthest_package_first,9,3,200,6871,6732,69954.74,6305.84,11300,31939,0.94,2980.47,3108.64
farthest_package_first,0,3,500,14044,13938,112421.84,19117.63,25600,73532,0.96,6820.67,7154.22
farthest_package_first,1,3,500,13899,13789,109637.3,13407.91,25508,73002,0.95,6563.37,6952.62
farthest_package_first,2,3,500,13803,13676,110092.03,15309.31,25418,72120,0.95,6702.36,6844.61
farthest_package_first,3,3,500,14236,14129,108850.22,17744.26,25304,71745,0.95,6794.34,6939.89
farthest_package_first,4,3,500,14584,14443,113396.44,16885.28,25835,74115,0.96,6619.53,7012.97
farthest_package_first,5,3,500,14231,14052,109014.58,12725.28,25879,73300,0.94,6650.39,6909.43
farthest_package_first,6,3,500,13728,13699,108752.61,15682.59,25409,72805,0.96,6681.34,6992.03
farthest_package_first,7,3,500,14502,14326,113520.94,18315.05,25702,73997,0.96,6662.35,6999.63
farthest_package_first,8,3,500,14918,14733,112560.63,15663.95,25682,74027,0.96,6736.58,7060.15
farthest_package_first,9,3,500,14118,14038,112694.39,13478.53,25934,73670,0.95,6607.41,6941.78
