no_steps,drone_travel_distance,utilization
5726,70449.24004916615,0.2066887879846315
6137,74368.33483220867,0.20395415784042148
6284,78118.6164557143,0.20910248249522598
5840,76202.29175668732,0.2191780821917808
5999,72750.29848633584,0.2039228760348947
6494,77095.93994263693,0.19982547993019198
6018,68054.61602627889,0.1902902403899413
5853,74654.86796759593,0.21430605387550544
5654,70995.38749367998,0.21126636009904493
6452,74969.42949865197,0.19559826410415376
5632,71725.5889736415,0.21410392992424243
5814,73583.93106385486,0.2130202958376333
6310,73343.66981884056,0.19553618594823033
5806,69514.68492725921,0.2016017912504306
6680,70872.2167090132,0.1784431137724551
5636,74253.45518578302,0.221463212680388
5986,76512.37168472394,0.21497382782046998
6720,71300.04965637853,0.17847222222222223
6240,75615.01827073634,0.20360576923076923
6177,72629.00077769649,0.1977497166909503
5822,76932.9574005572,0.22246078094583763
5932,77291.07417017179,0.21906608226567767
5740,72876.051785002,0.2136759581881533
6270,77051.54103174456,0.2065390749601276
5872,70227.06026276533,0.20112397820163488
6192,76553.09441667574,0.20790267011197244
5873,77249.40392414214,0.22106816504909474
6209,70934.59168059473,0.19219412680517528
5919,72383.37499952457,0.20552458185504308
6244,81819.29988526872,0.22015801836429638
5681,77222.78276417115,0.22859825148154667
6233,74272.43455596283,0.2003583079309054
6164,73645.2506654079,0.20068137573004544
5997,75116.65514078765,0.21085542771385693
5742,74797.23623301313,0.21911645187507256
6180,74041.53179893887,0.20161812297734627
5969,78717.09479971473,0.22158932261126935
6330,80303.77267430666,0.2130068457082675
6104,72470.2762385419,0.19967780690257755
6490,76832.35749148365,0.19915254237288135
