strategy,scenario_id,drone_capacity,no_customers,total_time,package_delivery_time,drone_travel_distance,truck_travel_distance,total_cluster_time,total_active_time,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,no_preventions
farthest_package_first_MPA,2,1,500,21903,21739,295711.13,15682.28,37949,104062,0.91,9967.13,9888.77,75120,69.52,102.37,185.42,1.0,1.0,1.0,357
farthest_package_first_MPA,3,1,500,18629,18454,275217.52,16075.43,35114,97122,0.92,9235.46,9140.03,70200,39.59,109.27,179.17,1.0,1.0,1.0,309
farthest_package_first_MPA,4,1,500,19745,19567,288154.92,14443.05,37455,103082,0.92,9677.97,9783.47,74880,66.81,117.35,182.42,1.0,1.0,1.0,364
farthest_package_first_MPA,5,1,500,19979,19872,280434.11,16431.82,35722,99086,0.92,9453.66,9551.17,71640,69.91,122.35,183.75,1.0,1.0,1.0,317
farthest_package_first_MPA,6,1,500,19735,19628,279465.86,16185.93,36429,101210,0.93,9652.3,9661.55,73920,58.85,130.24,165.11,1.0,1.0,1.0,339
farthest_package_first_MPA,7,1,500,21285,21114,299165.06,14908.34,38147,104530,0.91,9988.22,9915.28,75240,72.13,129.17,193.43,1.0,1.0,1.0,359
farthest_package_first_MPA,8,1,500,20323,20220,296996.25,16151.91,37653,103852,0.92,9903.74,9989.19,74760,52.52,126.39,183.69,1.0,1.0,1.0,358
farthest_package_first_MPA,9,1,500,20409,20249,286284.17,15418.85,36976,101838,0.92,9628.09,9628.04,73800,65.45,128.96,176.14,1.0,1.0,1.0,324
farthest_package_first_MPA,0,2,50,1987,1894,32409.9,2666.5,3259,9207,0.94,992.86,978.3,6000,0.0,-10,-10,0.5,-10,-10,0
farthest_package_first_MPA,1,2,50,2028,1958,40856.54,2555.4,3597,10399,0.96,1087.29,1113.64,6360,0.0,71.0,-10,0.5,0.67,-10,0
farthest_package_first_MPA,2,2,50,2191,2086,38972.73,2669.4,3474,9977,0.96,1067.25,1049.38,6120,0.0,33.0,-10,0.5,0.67,-10,0
