no_steps,drone_travel_distance,utilization
25056,159534.67540878535,0.10849696679438059
27313,167605.5430191743,0.10448626417212804
25482,165734.1865558245,0.11069905554247443
26391,165661.95691217485,0.10677882611496343
26952,162876.60900317843,0.10277530424458296
26263,164359.59859618155,0.10648694614730482
26048,163620.46612257906,0.10702037264537265
25775,165122.47892750904,0.10903976721629485
25137,165934.55911102158,0.11233772261341184
25368,164189.19380430377,0.1100139283086303
