strategy,scenario_id,drone_capacity,no_customers,total_time,A,drone_travel_distance,truck_travel_distance,X1,X2,utilization,avg_package_wait_time,avg_customer_wait_time,total_delay_time,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4
farthest_package_first_MPA,5,1,500,18239,18063,280434.11,15654.77,33798,99086,0.98,9016.27,8797.97,71640,32.41,39.87,43.03,66,60,32
farthest_package_first_MPA,6,1,500,19011,18903,279465.86,15162.82,34459,101210,0.98,9276.35,9157.33,73920,26.59,43.22,38.39,94,63,36
farthest_package_first_MPA,7,1,500,19034,18842,299165.06,17981.04,35721,104530,0.98,9549.13,9155.62,75240,30.01,37.32,44.82,92,90,28
farthest_package_first_MPA,8,1,500,19213,19037,296996.25,16965.46,35329,103852,0.98,9437.21,9242.59,74760,29.5,40.85,42.94,96,54,52
farthest_package_first_MPA,9,1,500,20978,20814,286284.17,14977.09,34801,101838,0.98,9391.61,9182.51,73800,32.65,43.51,41.75,84,78,28
farthest_package_first_MPA,0,2,50,1867,1772,32154.18,2666.5,3139,9181,0.97,991.61,976.96,6000,0.0,-10,-10,1,-10,-10
farthest_package_first_MPA,1,2,50,2183,2073,43371.71,2555.4,3734,10650,0.95,1082.27,1035.78,6360,0.0,21.56,-10,10,6,-10
farthest_package_first_MPA,2,2,50,2204,2099,39623.28,2669.4,3530,10041,0.95,1074.9,1045.96,6120,0.0,26.0,-10,8,2,-10
farthest_package_first_MPA,3,2,50,1966,1849,36794.98,2277.62,3408,9763,0.95,1015.25,989.84,6120,0.0,31.33,-10,3,2,-10
farthest_package_first_MPA,4,2,50,1823,1737,31411.62,2663.82,3120,9102,0.97,979.85,971.56,6000,0.0,-10,-10,2,-10,-10
farthest_package_first_MPA,5,2,50,2539,2396,37492.96,2640.25,3443,9829,0.95,1182.22,1100.16,6120,0.0,-10,36.25,5,-10,2
farthest_package_first_MPA,6,2,50,2112,1983,43656.78,2172.82,3832,10683,0.93,1102.52,1014.3,6360,0.0,53.33,24.0,3,2,4
farthest_package_first_MPA,7,2,50,2192,2071,41603.15,2737.84,3661,10595,0.96,1117.36,970.46,6480,0.0,33.33,18.75,4,4,4
farthest_package_first_MPA,8,2,50,2160,2021,38489.57,3099.96,3457,10046,0.97,1105.61,1039.42,6240,0.0,24.67,-10,2,4,-10
farthest_package_first_MPA,9,2,50,2134,1993,37862.08,2959.0,3540,10102,0.95,1085.2,1001.74,6360,0.0,9.33,5.75,3,4,2
farthest_package_first_MPA,0,2,100,4243,4134,81561.83,2646.48,6983,20438,0.98,2129.96,1998.84,12360,0.0,63.0,9.5,18,2,4
farthest_package_first_MPA,1,2,100,3983,3879,83210.79,2508.64,7425,21418,0.96,2120.12,1854.57,13200,0.0,25.76,22.75,7,14,6
farthest_package_first_MPA,2,2,100,4030,3920,83874.39,2630.99,7228,21021,0.97,2103.02,1897.63,12720,0.0,25.5,20.56,6,4,8
farthest_package_first_MPA,3,2,100,3651,3546,75435.74,2031.3,6924,20057,0.97,1970.52,1850.47,12600,0.0,19.67,19.08,11,4,6
farthest_package_first_MPA,4,2,100,3832,3703,74888.07,2404.78,6881,19759,0.96,1964.3,1862.64,12360,0.0,40.5,14.25,9,4,2
