strategy,scenario_id,no_drones,drone_capacity,no_customers,no_clusters,Total Distribution Time,Drones Travel Distance,Trucks Travel Distance,Trucks In-Cluster time,Drones Active Time,Drone Utilization,avg_span_2,avg_span_3,avg_span_4,avg_nodropoffs_2,avg_nodropoffs_3,avg_nodropoffs_4,median_span_2,median_span_3,median_span_4,median_nodropoffs_2,median_nodropoffs_3,median_nodropoffs_4,The Number of Battery Swaps,Total Package Delivery Time,Total Customer Delivery Time,Average Customer Delivery Time,Average Package Delivery Time,Median Package Delivery Time,Median Customer Delivery Time,no_of_customers_with_1_package,no_of_customers_with_2_package,no_of_customers_with_3_package,no_of_customers_with_4_package
most_packages_first_MPA,2,2,1,100,4,6327,86123.54,5985.07,11655,22891,0.98,39.333333333333336,173.4,233.0,2.0,3.0,4.0,39.333333333333336,173.4,233.0,2.0,3.0,4.0,4,379424.0,340771.0,3407.71,3188.436974789916,3244.0,3564.5,88,6,5,1
most_packages_first_MPA,7,2,1,100,4,7028,89512.81,8331.32,11958,23428,0.98,65.0,185.0,186.0,2.0,3.0,4.0,65.0,185.0,186.0,2.0,3.0,4.0,3,400200.0,344998.0,3449.98,3307.438016528926,3240.0,3349.0,83,14,2,1
most_packages_first_MPA,0,4,1,100,4,3393,85942.71,6194.0,5944,22346,0.94,24.428571428571427,0.0,0.0,2.0,3.0,4.0,24.428571428571427,0.0,0.0,2.0,3.0,4.0,0,193451.0,176958.0,1769.58,1682.182608695652,1606.0,1613.5,90,7,1,2
most_packages_first_MPA,7,4,1,100,4,3928,89512.81,8331.32,6214,23428,0.94,44.285714285714285,0.0,0.0,2.0,3.0,4.0,44.285714285714285,0.0,0.0,2.0,3.0,4.0,0,223068.0,190945.0,1909.45,1843.5371900826449,1836.0,1839.0,83,14,2,1
most_packages_first_MPA,5,1,1,200,2,29865,291487.57,2232.8,58782,58118,0.99,231.78571428571428,474.0,750.0,2.0,3.0,4.0,231.78571428571428,474.0,750.0,2.0,3.0,4.0,14,3542785.0,3389987.0,16949.935,14761.604166666666,14728.5,17178.5,175,14,7,4
most_packages_first_MPA,4,2,1,200,2,16159,277996.51,2296.97,29250,57494,0.98,132.42857142857142,249.75,237.75,2.0,3.0,4.0,132.42857142857142,249.75,237.75,2.0,3.0,4.0,12,1862471.0,1755418.0,8777.09,7571.0203252032525,7525.5,8888.0,174,14,4,8
most_packages_first_MPA,4,3,1,200,2,10867,277996.51,2296.97,19592,57494,0.98,91.57142857142856,220.5,243.75,2.0,3.0,4.0,91.57142857142856,220.5,243.75,2.0,3.0,4.0,12,1251154.0,1178546.0,5892.73,5085.991869918699,5059.5,5972.0,174,14,4,8
most_packages_first_MPA,6,4,1,200,2,7629,257971.15,2220.32,14066,54526,0.97,41.22222222222222,117.57142857142856,0.0,2.0,3.0,4.0,41.22222222222222,117.57142857142856,0.0,2.0,3.0,4.0,8,840446.0,805749.0,4028.745,3531.285714285714,3511.0,4062.0,173,18,7,2
most_packages_first_MPA,4,1,1,200,4,28456,188917.18,5757.74,48811,48287,0.99,204.1428571428571,435.0,625.875,2.0,3.0,4.0,204.1428571428571,435.0,625.875,2.0,3.0,4.0,9,3151609.0,2771271.0,13856.355,12811.418699186992,12458.0,13051.5,174,14,4,8
most_packages_first_MPA,7,2,1,200,4,12802,187512.64,5985.28,24486,48207,0.98,75.71428571428571,219.5,207.66666666666663,2.0,3.0,4.0,75.71428571428571,219.5,207.66666666666663,2.0,3.0,4.0,8,1592144.0,1377694.0,6888.47,6472.130081300813,6578.0,7157.5,168,21,8,3
most_packages_first_MPA,6,3,1,200,4,8681,181470.89,7820.03,16024,46724,0.97,79.33333333333333,59.57142857142857,203.5,2.0,3.0,4.0,79.33333333333333,59.57142857142857,203.5,2.0,3.0,4.0,6,1002158.0,910755.0,4553.775,4210.747899159664,4096.5,4306.0,173,18,7,2
most_packages_first_MPA,6,4,1,200,4,6748,181470.89,7820.03,12150,46724,0.96,20.444444444444443,99.85714285714286,0.0,2.0,3.0,4.0,20.444444444444443,99.85714285714286,0.0,2.0,3.0,4.0,8,770322.0,698421.0,3492.105,3236.6470588235293,3079.5,3263.0,173,18,7,2
most_packages_first_MPA,6,1,1,200,8,22098,120282.25,12062.52,40917,40483,0.99,162.22222222222223,350.57142857142856,480.0,2.0,3.0,4.0,162.22222222222223,350.57142857142856,480.0,2.0,3.0,4.0,6,2535027.0,2196497.0,10982.485,10651.373949579833,10510.5,11118.5,173,18,7,2
most_packages_first_MPA,4,2,1,200,8,12731,133242.15,10860.92,21850,42778,0.98,14.0,196.5,175.625,2.0,3.0,4.0,14.0,196.5,175.625,2.0,3.0,4.0,4,1449628.0,1192990.0,5964.95,5892.79674796748,5879.0,6365.5,174,14,4,8
most_packages_first_MPA,4,3,1,200,8,8834,133242.15,10860.92,14921,42778,0.96,50.357142857142854,110.25,179.375,2.0,3.0,4.0,50.357142857142854,110.25,179.375,2.0,3.0,4.0,5,1017750.0,836731.0,4183.655,4137.195121951219,4199.5,4461.0,174,14,4,8
most_packages_first_MPA,5,4,1,200,8,6472,126996.44,10761.61,10988,41429,0.94,58.857142857142854,26.285714285714285,0.0,2.0,3.0,4.0,58.857142857142854,26.285714285714285,0.0,2.0,3.0,4.0,0,741890.0,639900.0,3199.5,3091.2083333333335,3124.0,3271.0,175,14,7,4
most_packages_first_MPA,6,1,1,400,2,60230,582734.06,2291.55,119309,117911,0.99,229.1176470588235,462.3809523809524,776.5,2.0,3.0,4.0,229.1176470588235,462.3809523809524,776.5,2.0,3.0,4.0,30,14696357.0,13892491.0,34731.2275,29749.71052631579,29411.0,35399.5,339,34,21,6
